Pickup Punkte;Tour;Aufnahmedatum der Tour;geo_point_2d
"{""coordinates"": [9.38354518315467, 47.4230286433118], ""type"": ""Point""}";Tour 302;2016-03-09;47.4230286433118, 9.38354518315467
"{""coordinates"": [9.38449468520253, 47.4236482336312], ""type"": ""Point""}";Tour 302;2016-03-09;47.4236482336312, 9.38449468520253
"{""coordinates"": [9.38562791857885, 47.4242410018588], ""type"": ""Point""}";Tour 302;2016-03-09;47.4242410018588, 9.38562791857885
"{""coordinates"": [9.38573252473668, 47.4242919638331], ""type"": ""Point""}";Tour 302;2016-03-09;47.4242919638331, 9.38573252473668
"{""coordinates"": [9.38322600026285, 47.4235677673559], ""type"": ""Point""}";Tour 302;2016-03-09;47.4235677673559, 9.38322600026285
"{""coordinates"": [9.3822966147838, 47.4233344151577], ""type"": ""Point""}";Tour 302;2016-03-09;47.4233344151577, 9.3822966147838
"{""coordinates"": [9.37920268650072, 47.4217183841299], ""type"": ""Point""}";Tour 302;2016-03-09;47.4217183841299, 9.37920268650072
"{""coordinates"": [9.37873329989512, 47.4196463775424], ""type"": ""Point""}";Tour 302;2016-03-09;47.4196463775424, 9.37873329989512
"{""coordinates"": [9.38098501449733, 47.4185144852706], ""type"": ""Point""}";Tour 302;2016-03-09;47.4185144852706, 9.38098501449733
"{""coordinates"": [9.38276063697103, 47.4177192102503], ""type"": ""Point""}";Tour 302;2016-03-09;47.4177192102503, 9.38276063697103
"{""coordinates"": [9.38193988096356, 47.418734426423], ""type"": ""Point""}";Tour 302;2016-03-09;47.418734426423, 9.38193988096356
"{""coordinates"": [9.38148658761301, 47.4190643381515], ""type"": ""Point""}";Tour 302;2016-03-09;47.4190643381515, 9.38148658761301
"{""coordinates"": [9.3728673084299, 47.4192212473882], ""type"": ""Point""}";Tour 302;2016-03-09;47.4192212473882, 9.3728673084299
"{""coordinates"": [9.37114935345349, 47.4188926767643], ""type"": ""Point""}";Tour 302;2016-03-09;47.4188926767643, 9.37114935345349
"{""coordinates"": [9.37090527241858, 47.4188296448487], ""type"": ""Point""}";Tour 302;2016-03-09;47.4188296448487, 9.37090527241858
"{""coordinates"": [9.37071751777634, 47.4187947761294], ""type"": ""Point""}";Tour 302;2016-03-09;47.4187947761294, 9.37071751777634
"{""coordinates"": [9.37741901739949, 47.4159315178354], ""type"": ""Point""}";Tour 302;2016-03-09;47.4159315178354, 9.37741901739949
"{""coordinates"": [9.37899749749883, 47.4165296504813], ""type"": ""Point""}";Tour 302;2016-03-09;47.4165296504813, 9.37899749749883
"{""coordinates"": [9.37934752579613, 47.4166892419272], ""type"": ""Point""}";Tour 302;2016-03-09;47.4166892419272, 9.37934752579613
"{""coordinates"": [9.37994968175587, 47.416985626041], ""type"": ""Point""}";Tour 302;2016-03-09;47.416985626041, 9.37994968175587
"{""coordinates"": [9.38013475418893, 47.4170486579566], ""type"": ""Point""}";Tour 302;2016-03-09;47.4170486579566, 9.38013475418893
"{""coordinates"": [9.38087370281659, 47.4174053917769], ""type"": ""Point""}";Tour 302;2016-03-09;47.4174053917769, 9.38087370281659
"{""coordinates"": [9.38121300227721, 47.4169883082502], ""type"": ""Point""}";Tour 302;2016-03-09;47.4169883082502, 9.38121300227721
"{""coordinates"": [9.38121300227721, 47.4168474922685], ""type"": ""Point""}";Tour 302;2016-03-09;47.4168474922685, 9.38121300227721
"{""coordinates"": [9.37938910003837, 47.4175636421182], ""type"": ""Point""}";Tour 302;2016-03-09;47.4175636421182, 9.37938910003837
"{""coordinates"": [9.37892507785111, 47.4172994445145], ""type"": ""Point""}";Tour 302;2016-03-09;47.4172994445145, 9.37892507785111
"{""coordinates"": [9.37680210928929, 47.4185185085844], ""type"": ""Point""}";Tour 302;2016-03-09;47.4185185085844, 9.37680210928929
"{""coordinates"": [9.37738146647104, 47.4196034621956], ""type"": ""Point""}";Tour 302;2016-03-09;47.4196034621956, 9.37738146647104
"{""coordinates"": [9.37786962854085, 47.4193902265662], ""type"": ""Point""}";Tour 302;2016-03-09;47.4193902265662, 9.37786962854085
"{""coordinates"": [9.37830012311341, 47.4194022965075], ""type"": ""Point""}";Tour 302;2016-03-09;47.4194022965075, 9.37830012311341
"{""coordinates"": [9.38114460594323, 47.4211095226472], ""type"": ""Point""}";Tour 302;2016-03-09;47.4211095226472, 9.38114460594323
"{""coordinates"": [9.3809474635689, 47.421435411062], ""type"": ""Point""}";Tour 302;2016-03-09;47.421435411062, 9.3809474635689
"{""coordinates"": [9.37860857716851, 47.4188162338028], ""type"": ""Point""}";Tour 302;2016-03-09;47.4188162338028, 9.37860857716851
"{""coordinates"": [9.37879096739238, 47.4186673711936], ""type"": ""Point""}";Tour 302;2016-03-09;47.4186673711936, 9.37879096739238
"{""coordinates"": [9.37915574784014, 47.4181564103458], ""type"": ""Point""}";Tour 302;2016-03-09;47.4181564103458, 9.37915574784014
"{""coordinates"": [9.3823811043728, 47.4192266118066], ""type"": ""Point""}";Tour 302;2016-03-09;47.4192266118066, 9.3823811043728
"{""coordinates"": [9.38364978931247, 47.4193593811607], ""type"": ""Point""}";Tour 302;2016-03-09;47.4193593811607, 9.38364978931247
"{""coordinates"": [9.38410710597677, 47.4182771097587], ""type"": ""Point""}";Tour 302;2016-03-09;47.4182771097587, 9.38410710597677
"{""coordinates"": [9.38408564830337, 47.4181497048229], ""type"": ""Point""}";Tour 302;2016-03-09;47.4181497048229, 9.38408564830337
"{""coordinates"": [9.38393142127583, 47.4176186274063], ""type"": ""Point""}";Tour 302;2016-03-09;47.4176186274063, 9.38393142127583
"{""coordinates"": [9.38341911932343, 47.4180424164559], ""type"": ""Point""}";Tour 302;2016-03-09;47.4180424164559, 9.38341911932343
"{""coordinates"": [9.38276197807562, 47.4167442272153], ""type"": ""Point""}";Tour 302;2016-03-09;47.4167442272153, 9.38276197807562
"{""coordinates"": [9.38199620735622, 47.4164304087419], ""type"": ""Point""}";Tour 302;2016-03-09;47.4164304087419, 9.38199620735622
"{""coordinates"": [9.38208874357275, 47.415773267494], ""type"": ""Point""}";Tour 302;2016-03-09;47.415773267494, 9.38208874357275
"{""coordinates"": [9.38828867008021, 47.4151013740958], ""type"": ""Point""}";Tour 302;2016-03-09;47.4151013740958, 9.38828867008021
"{""coordinates"": [9.38987385570252, 47.4149914035196], ""type"": ""Point""}";Tour 302;2016-03-09;47.4149914035196, 9.38987385570252
"{""coordinates"": [9.39061146322558, 47.4148613163746], ""type"": ""Point""}";Tour 302;2016-03-09;47.4148613163746, 9.39061146322558
"{""coordinates"": [9.39116936273393, 47.4146360108039], ""type"": ""Point""}";Tour 302;2016-03-09;47.4146360108039, 9.39116936273393
"{""coordinates"": [9.39280819253969, 47.4147325703342], ""type"": ""Point""}";Tour 302;2016-03-09;47.4147325703342, 9.39280819253969
"{""coordinates"": [9.39383413754905, 47.4149927446242], ""type"": ""Point""}";Tour 302;2016-03-09;47.4149927446242, 9.39383413754905
"{""coordinates"": [9.39748864754966, 47.4146413752223], ""type"": ""Point""}";Tour 302;2016-03-09;47.4146413752223, 9.39748864754966
"{""coordinates"": [9.40232198848258, 47.4157464454023], ""type"": ""Point""}";Tour 302;2016-03-09;47.4157464454023, 9.40232198848258
"{""coordinates"": [9.40339889546627, 47.4251878216974], ""type"": ""Point""}";Tour 302;2016-03-09;47.4251878216974, 9.40339889546627
"{""coordinates"": [9.39638223626508, 47.4242503895909], ""type"": ""Point""}";Tour 302;2016-03-09;47.4242503895909, 9.39638223626508
"{""coordinates"": [9.39086761420177, 47.4233075930659], ""type"": ""Point""}";Tour 302;2016-03-09;47.4233075930659, 9.39086761420177
"{""coordinates"": [9.39036469998149, 47.4233424617852], ""type"": ""Point""}";Tour 302;2016-03-09;47.4233424617852, 9.39036469998149
"{""coordinates"": [9.40398093485717, 47.4270693914335], ""type"": ""Point""}";Tour 302;2016-03-09;47.4270693914335, 9.40398093485717
"{""coordinates"": [9.40254729405328, 47.4266429201748], ""type"": ""Point""}";Tour 302;2016-03-09;47.4266429201748, 9.40254729405328
"{""coordinates"": [9.40178822885682, 47.4256907359177], ""type"": ""Point""}";Tour 302;2016-03-09;47.4256907359177, 9.40178822885682
"{""coordinates"": [9.3941466149179, 47.4138568290387], ""type"": ""Point""}";Tour 302;2016-03-09;47.4138568290387, 9.3941466149179
"{""coordinates"": [9.39581360792002, 47.4143034168663], ""type"": ""Point""}";Tour 302;2016-03-09;47.4143034168663, 9.39581360792002
"{""coordinates"": [9.39625080801551, 47.4145568856333], ""type"": ""Point""}";Tour 302;2016-03-09;47.4145568856333, 9.39625080801551
"{""coordinates"": [9.39645331480821, 47.4145206758094], ""type"": ""Point""}";Tour 302;2016-03-09;47.4145206758094, 9.39645331480821
"{""coordinates"": [9.39717751128541, 47.4145314046461], ""type"": ""Point""}";Tour 302;2016-03-09;47.4145314046461, 9.39717751128541
"{""coordinates"": [9.39829331030211, 47.4164143154868], ""type"": ""Point""}";Tour 302;2016-03-09;47.4164143154868, 9.39829331030211
"{""coordinates"": [9.39816724647088, 47.4162802050281], ""type"": ""Point""}";Tour 302;2016-03-09;47.4162802050281, 9.39816724647088
"{""coordinates"": [9.39823296059566, 47.4159865031234], ""type"": ""Point""}";Tour 302;2016-03-09;47.4159865031234, 9.39823296059566
"{""coordinates"": [9.3980291126984, 47.4152904698426], ""type"": ""Point""}";Tour 302;2016-03-09;47.4152904698426, 9.3980291126984
"{""coordinates"": [9.39742963894781, 47.4156860956959], ""type"": ""Point""}";Tour 302;2016-03-09;47.4156860956959, 9.39742963894781
"{""coordinates"": [9.38773211167646, 47.4148988673031], ""type"": ""Point""}";Tour 302;2016-03-09;47.4148988673031, 9.38773211167646
"{""coordinates"": [9.38956942496117, 47.4141585775708], ""type"": ""Point""}";Tour 302;2016-03-09;47.4141585775708, 9.38956942496117
"{""coordinates"": [9.38840802838851, 47.4144080230241], ""type"": ""Point""}";Tour 302;2016-03-09;47.4144080230241, 9.38840802838851
"{""coordinates"": [9.38657607952214, 47.4145314046461], ""type"": ""Point""}";Tour 302;2016-03-09;47.4145314046461, 9.38657607952214
"{""coordinates"": [9.38703473729103, 47.4145421334828], ""type"": ""Point""}";Tour 302;2016-03-09;47.4145421334828, 9.38703473729103
"{""coordinates"": [9.38751082941954, 47.4145984598755], ""type"": ""Point""}";Tour 302;2016-03-09;47.4145984598755, 9.38751082941954
"{""coordinates"": [9.38384559058224, 47.4158215472592], ""type"": ""Point""}";Tour 302;2016-03-09;47.4158215472592, 9.38384559058224
"{""coordinates"": [9.39034726562187, 47.4169145474979], ""type"": ""Point""}";Tour 302;2016-03-09;47.4169145474979, 9.39034726562187
"{""coordinates"": [9.38842143943438, 47.4172243426576], ""type"": ""Point""}";Tour 302;2016-03-09;47.4172243426576, 9.38842143943438
"{""coordinates"": [9.3878139190563, 47.4169132063933], ""type"": ""Point""}";Tour 302;2016-03-09;47.4169132063933, 9.3878139190563
